Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()				
0.555650884	-360.5780945	236.7057648	0.691387373	1.382221209				
0.555650954	-335.7974854	262.0530396	0.694104728	1.382774746				
0.555651023	-316.2912903	63.8360405	0.694104728	1.382774746				
0.555651093	-312.5401001	-31.12268639	0.694376109	1.388209456				
0.555651162	-316.7005005	-82.93874359	0.694376109	1.388209456				
0.555651231	-314.2224426	-93.93003845	0.694376109	1.388209456				
0.555651301	-325.6806335	-85.92957306	0.694376109	1.388209456				
0.55565137	-328.6588745	-85.85479736	0.694376109	1.388209456				
0.55565144	-334.0014343	-59.2364502	0.694376109	1.388209456				
0.555651509	-335.342804	-89.59333801	0.694376109	1.388209456				
0.555651578	-328.7498169	-79.87314606	0.696204037	1.388752218				
0.555651648	-328.6361084	-100.8837051	0.696204037	1.388752218				
0.555651717	-329.4545593	-98.86489868	0.696701873	1.392408073				
0.555651787	-324.2028809	-96.39746094	0.696701873	1.392408073				
0.555651856	-316.7005005	-91.91122437	0.696701873	1.392408073				
0.555651925	-305.105896	-98.64057922	0.696701873	1.392408073				
0.555651995	-302.1731567	-76.43370056	0.696701873	1.392408073				
0.555652064	-305.105896	-72.8447113	0.696701873	1.392408073				
0.555652134	-304.0828247	-75.31214142	0.696701873	1.392408073				
0.555652203	-299.9906311	-85.7800293	0.698348459	1.393403745				
0.555652272	-299.4449768	-71.27452087	0.698659508	1.396696917				
0.555652342	-308.1977844	-66.04058075	0.698659508	1.396696917				
0.555652411	-314.6543884	-58.264431	0.698659508	1.396696917				
0.555652481	-308.1750488	-67.23690796	0.698659508	1.396696917				
0.55565255	-303.0597839	-79.57406616	0.698659508	1.396696917				
0.555652619	-303.7418213	-79.57406616	0.698659508	1.396696917				
0.555652689	-301.6957092	-47.04883575	0.698659508	1.396696917				
0.555652758	-297.944519	-40.76809692	0.700519908	1.397319016				
0.555652828	-299.5359497	-54.97452164	0.700519908	1.397319016				
0.555652897	-294.5343628	-43.68415451	0.700519908	1.397319016				
0.555652966	-290.1011047	-45.9272728	0.700519908	1.397319016				
0.555653036	-287.7139893	-49.29195023	0.700519908	1.397319016				
0.555653105	-290.4421387	-59.38599014	0.700519908	1.397319016				
0.555653175	-290.1011047	-63.87223053	0.700519908	1.397319016				
0.555653244	-289.1917419	-53.77819061	0.702044888	1.401039816				
0.555653313	-289.8737793	-42.56259537	0.702044888	1.401039816				
0.555653383	-290.8968201	-42.41305161	0.702649101	1.404089776				
0.555653452	-294.9890137	-36.58094406	0.702649101	1.404089776				
0.555653522	-294.5343628	-41.44103622	0.702649101	1.404089776				
0.555653591	-282.9397278	-54.89974976	0.702649101	1.404089776				
0.55565366	-280.2115784	-34.71167755	0.702649101	1.404089776				
0.55565373	-280.5526123	-32.46855927	0.702649101	1.404089776				
0.555653799	-275.8465576	-25.96351051	0.704225922	1.405298201				
