Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()
0.6675666476	-367.5562438965	3.3291044235	0.1368212320	0.8201246213
0.6675667170	-362.3273010254	2.3321616650	0.1392791839	0.8209273919
0.6675667864	-363.1230163574	1.0859863758	0.1394910084	0.8356751035
0.6675668558	-361.0769042969	2.2075474262	0.1394910084	0.8356751035
0.6675669252	-363.1230468750	1.0859863758	0.1394910084	0.8356751035
0.6675669946	-357.3257141113	-3.4002623558	0.1394910084	0.8356751035
0.6675670640	-355.9616394043	-2.6525521278	0.1394910084	0.8356751035
0.6675671334	-355.9616394043	11.3046445847	0.1394910084	0.8356751035
0.6675672028	-353.8397521973	-7.6372575760	0.1394910084	0.8356751035
0.6675672722	-352.9303894043	-11.6250247955	0.1394910084	0.8356751035
0.6675673416	-353.0288696289	-7.2135596275	0.1413867186	0.8369460506
0.6675674110	-351.2328491211	4.2595815659	0.1413666953	0.8483203117
0.6675674804	-348.6865844727	6.3199286461	0.1413666953	0.8483203117
0.6675675498	-349.2928466797	13.2985239029	0.1413666953	0.8483203117
0.6675676192	-345.7311096191	10.0584650040	0.1413666953	0.8483203117
0.6675676886	-339.8959350586	8.3138141632	0.1413666953	0.8483203117
0.6675677580	-339.5928039551	2.3321616650	0.1413666953	0.8483203117
0.6675678274	-343.0029602051	5.5722265244	0.1413666953	0.8483203117
0.6675678968	-341.6389160156	12.3015851974	0.1413666953	0.8483203117
0.6675679662	-338.3802795410	-2.6525480747	0.1360560529	0.8482001716
0.6675680356	-340.6158752441	-0.0355788805	0.1360560529	0.8482001716
0.6675681050	-340.8052978516	-5.6433720589	0.1360560529	0.8482001716
0.6675681744	-336.8646545410	-10.6280822754	0.1360560529	0.8482001716
0.6675682438	-336.8646545410	-0.6586624980	0.1328430952	0.8163363177
0.6675683133	-333.5302734375	7.3168754578	0.1328430952	0.8163363177
0.6675683827	-333.2271423340	-1.6556051970	0.1328430952	0.8163363177
0.6675684520	-333.7955017090	-5.6433720589	0.1328430952	0.8163363177
0.6675685215	-333.8333740234	-14.6158533096	0.1298948997	0.7970585711
0.6675685909	-336.2735595703	-3.4750251770	0.1298948997	0.7970585711
0.6675686603	-333.8334045410	7.3168716431	0.1298948997	0.7970585711
0.6675687297	-333.2271118164	11.3046407700	0.1298948997	0.7970585711
0.6675688222	-336.5236511230	-11.2511739731	0.1298948997	0.7970585711
0.6675688684	-357.8410339355	-9.6976089478	0.1273682319	0.7793693984
0.6675689610	-368.9203491211	-2.2786929607	0.1273682319	0.7793693984
0.6675690073	-375.8543395996	-3.0263988972	0.1273682319	0.7793693984
0.6675690767	-399.4098510742	2.6644787788	0.1273682319	0.7793693984
0.6675691461	-407.4553527832	-4.5218153000	0.1275751781	0.7642093913
0.6675692155	-406.2807617188	-9.6311473846	0.1275751781	0.7642093913
0.6675692849	-400.9759826660	2.2075474262	0.1275751781	0.7642093913
0.6675693543	-397.2248229980	10.0584630966	0.1275751781	0.7642093913
0.6675694237	-403.3631591797	8.9369020462	0.1289860288	0.7654510688
0.6675694931	-395.3075256348	3.3955662251	0.1289860288	0.7654510688
0.6675695625	-393.8146057129	-13.4942922592	0.1289860288	0.7654510688
0.6675696319	-393.2462768555	-0.6586624980	0.1289860288	0.7654510688
0.6675697013	-395.5197143555	-7.8864946365	0.1289860288	0.7654510688
0.6675697707	-393.2462768555	-10.6280860901	0.1302386818	0.7739161727
0.6675698401	-390.2149658203	-10.6280860901	0.1302386818	0.7739161727
0.6675699095	-384.9481811523	-2.2786929607	0.1302386818	0.7739161727
0.6675699789	-386.2743530273	12.3015832901	0.1302386818	0.7739161727
0.6675700483	-383.2430419922	-8.6342000961	0.1315550160	0.7814320908
0.6675701177	-384.1524353027	-15.6127958298	0.1315550160	0.7814320908
0.6675704647	-378.4688110352	-6.7649374008	0.1335898371	0.7893300963
0.6675704878	-379.2190551758	-0.9328228831	0.1335898371	0.7893300963
0.6675705341	-380.8786315918	17.4856853485	0.1335898371	0.7893300963
0.6675706035	-375.6648864746	15.2924098969	0.1335898371	0.7893300963
0.6675706729	-374.3766174316	-3.4002540112	0.1343469965	0.8015390226
0.6675707423	-368.6929931641	-4.6464295387	0.1343469965	0.8015390226
0.6675708117	-372.6336059570	-1.6556093693	0.1343469965	0.8015390226
0.6675708811	-369.6023559570	-8.6342000961	0.1343469965	0.8015390226
0.6675709505	-368.9960937500	0.3382802904	0.1343469965	0.8015390226
0.6675710199	-370.2086181641	-1.6556051970	0.1343469965	0.8015390226
0.6675710893	-359.5991821289	8.3138141632	0.1358583283	0.8060819791
0.6675711587	-361.0769042969	-7.8864903450	0.1358583283	0.8060819791
0.6675712281	-359.0308227539	4.4506616592	0.1358583283	0.8060819791
0.6675712975	-362.3273010254	8.3138103485	0.1364717115	0.8151499698
0.6675713669	-355.0522766113	10.3076972961	0.1364717115	0.8151499698
0.6675714363	-354.9512329102	4.6583600044	0.1364717115	0.8151499698
0.6675715057	-354.5975646973	-9.0080556870	0.1364717115	0.8151499698
0.6675715751	-354.9385986328	4.4506616592	0.1364717115	0.8151499698
0.6675716445	-352.0209960938	-9.6311435699	0.1364717115	0.8151499698
0.6675717139	-355.6585083008	6.3199329376	0.1375442552	0.8188302687
0.6675717833	-350.8085021973	4.3260431290	0.1375442552	0.8188302687
0.6675718527	-349.4822998047	4.4506616592	0.1363266511	0.8252655315
0.6675719221	-348.4592285156	12.3015832901	0.1363266511	0.8252655315
0.6675719915	-350.5053405762	7.9814991951	0.1363266511	0.8252655315
0.6675720609	-346.7541503906	11.9277286530	0.1363266511	0.8252655315
0.6675721303	-345.3522033691	5.3229899406	0.1363266511	0.8252655315
0.6675721997	-344.4428405762	8.3138141632	0.1363266511	0.8252655315
0.6675722691	-340.1990356445	0.3382802904	0.1318361424	0.8179599068
0.6675723385	-341.1083984375	0.0059633073	0.1318361424	0.8179599068
0.6675724079	-339.5928039551	3.7278833389	0.1318361424	0.8179599068
0.6675724773	-334.7427673340	-3.6494948864	0.1296484558	0.7910168546
0.6675725467	-336.1573791504	-8.0360326767	0.1296484558	0.7910168546
0.6675726161	-336.8646545410	-18.8030090332	0.1296484558	0.7910168546
0.6675726855	-338.3878784180	-2.3534638882	0.1296484558	0.7910168546
0.6675727549	-332.7421264648	11.5704936981	0.1296484558	0.7910168546
0.6675728243	-330.7035827637	10.6566295624	0.1296484558	0.7910168546
0.6675728937	-330.9031372070	7.3833332062	0.1257192138	0.7778907351
0.6675729631	-333.2271423340	9.9753847122	0.1257192138	0.7778907351
0.6675730325	-327.7708435059	-0.6586624980	0.1257192138	0.7778907351
0.6675731019	-340.1990356445	6.3199286461	0.1237955332	0.7543152830
0.6675731713	-362.8325500488	3.3291044235	0.1237955332	0.7543152830
0.6675732407	-379.9952697754	0.6231163740	0.1237955332	0.7543152830
0.6675733333	-396.5806884766	4.3260474205	0.1237955332	0.7543152830
0.6675734027	-408.8194274902	-1.1571359634	0.1237955332	0.7543152830
0.6675734721	-408.1373596191	-4.5218153000	0.1237955332	0.7543152830
0.6675735415	-402.3173217773	18.0589256287	0.1242148767	0.7427731995
0.6675736109	-407.4553527832	4.4506616592	0.1242148767	0.7427731995
0.6675736803	-404.0451354980	6.6937837601	0.1242148767	0.7427731995
0.6675737497	-400.6804504395	-3.0264031887	0.1251532297	0.7452892599
0.6675738191	-397.9068603516	-2.2786929607	0.1251532297	0.7452892599
0.6675738885	-394.1556396484	-3.4002499580	0.1251532297	0.7452892599
0.6675739579	-396.5427246094	-15.7374095917	0.1251532297	0.7452892599
0.6675740273	-395.5197143555	-6.7649331093	0.1251532297	0.7452892599
0.6675740967	-391.4956665039	11.6286458969	0.1268988213	0.7509193785
0.6675741661	-383.9933166504	6.0208487511	0.1268988213	0.7509193785
0.6675742355	-387.3352966309	4.4506616592	0.1268988213	0.7509193785
0.6675743049	-386.2440185547	-0.0355747789	0.1277030982	0.7613929281
0.6675743743	-385.1072998047	5.9460778236	0.1277030982	0.7613929281
0.6675744437	-384.9481201172	-4.5218153000	0.1277030982	0.7613929281
0.6675745131	-383.9250793457	-1.1571317911	0.1277030982	0.7613929281
0.6675745825	-386.9942626953	-4.5218153000	0.1277030982	0.7613929281
0.6675746519	-388.3583374023	-7.8864946365	0.1277030982	0.7613929281
0.6675747213	-381.4470214844	2.2823143005	0.1296269077	0.7662185893
0.6675747907	-379.2645263672	-8.2603492737	0.1296269077	0.7662185893
0.6675748601	-379.8328857422	-1.1571317911	0.1296269077	0.7662185893
0.6675749295	-373.3535461426	8.9369020462	0.1296269077	0.7662185893
0.6675749989	-370.6254272461	11.1800222397	0.1296269077	0.7662185893
0.6675750683	-373.6945800781	3.3291003704	0.1296269077	0.7662185893
0.6675751377	-368.9203186035	19.0309410095	0.1314142209	0.7777614459
0.6675752071	-369.2613220215	10.0584630966	0.1314142209	0.7777614459
0.6675752765	-370.6254272461	-7.8864946365	0.1314142209	0.7777614459
0.6675753459	-367.8063354492	-0.9328228831	0.1320919159	0.7884853252
0.6675754153	-366.1921691895	-6.7649331093	0.1320919159	0.7884853252
0.6675754847	-367.2152404785	-4.5218153000	0.1320919159	0.7884853252
0.6675755541	-366.5332031250	-0.0355747789	0.1320919159	0.7884853252
0.6675756235	-361.4179077148	-10.8773231506	0.1320919159	0.7884853252
0.6675756929	-360.3948974609	1.0859863758	0.1320919159	0.7884853252
0.6675757623	-359.7128295898	8.9369020462	0.1337236871	0.7925514952
0.6675758317	-355.2796325684	6.6937837601	0.1337236871	0.7925514952
0.6675759011	-361.0769348145	1.0859863758	0.1344948597	0.8023421229
0.6675759705	-357.8940734863	1.0859863758	0.1344948597	0.8023421229
0.6675760399	-356.3026733398	12.3015832901	0.1344948597	0.8023421229
0.6675761093	-355.9616088867	17.9093818665	0.1344948597	0.8023421229
0.6675761787	-353.2335205078	10.0584669113	0.1344948597	0.8023421229
0.6675762481	-349.1412658691	-4.5218110085	0.1344948597	0.8023421229
0.6675763175	-346.4813842773	-7.8864903450	0.1348468961	0.8069691579
0.6675763869	-348.1864318848	-10.8773183823	0.1348468961	0.8069691579
0.6675764563	-348.8002319336	2.2075433731	0.1348468961	0.8069691579
0.6675765257	-345.2763977051	-1.7553039789	0.1332401195	0.8090813766
0.6675765951	-341.1842346191	11.9277305603	0.1332401195	0.8090813766
0.6675766645	-340.6158447266	6.6937837601	0.1332401195	0.8090813766
0.6675767339	-344.0260009766	-3.4002540112	0.1332401195	0.8090813766
0.6675768033	-341.0705261230	-0.0355747789	0.1332401195	0.8090813766
0.6675768727	-340.9568786621	-2.2786929607	0.1332401195	0.8090813766
