Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control ()	Pump Control ()
0.5238271030	-165.9706115723	199.1496582031	0.0601470353	0.2059235990
0.5238272187	-164.3791961670	206.6267547607	0.0601470353	0.2059235990
0.5238273352	-169.6730957031	208.4639587402	0.0601470353	0.2059235990
0.5238274508	-164.6065521240	208.8698425293	0.0601470353	0.2059235990
0.5238275672	-160.6234588623	211.1727905273	0.0687018351	0.7111728998
0.5238276833	-164.9537658691	215.9798583984	0.0687018351	0.7111728998
0.5238277990	-163.6971740723	212.6083831787	0.0687018351	0.7111728998
0.5238279147	-163.2424774170	221.5808715820	0.0687018351	0.7111728998
0.5238280303	-165.0612182617	214.1038055420	0.0687018351	0.7111728998
0.5238281460	-165.5159149170	206.6267242432	0.0491600283	0.1355986470
0.5238282617	-166.1979675293	213.3560943604	0.0491600283	0.1355986470
0.5238283774	-164.1215209961	215.4995117188	0.0491600283	0.1355986470
0.5238284930	-165.0915527344	221.1322479248	0.0491600283	0.1355986470
0.5238286087	-165.1673126221	216.6460266113	0.0491600283	0.1355986470
0.5238287243	-163.6516876221	208.7203216553	0.0311430694	0.2949601695
0.5238288400	-161.8026123047	217.0946350098	0.0206058323	0.1868584164
0.5238289560	-163.4971160889	210.1558990479	0.0206058323	0.1868584164
0.5238290716	-163.1212158203	216.3967590332	0.0206058323	0.1868584164
0.5238291873	-163.4394989014	217.6429443359	0.0206058323	0.1868584164
0.5238293030	-160.8629302979	210.6145019531	0.0206058323	0.1868584164
0.5238294190	-161.3327484131	221.4612121582	0.0531011220	0.0000000000
0.5238295350	-161.3327789307	215.8982696533	0.0531011220	0.0000000000
0.5238296506	-159.7110443115	221.4811859131	0.0531011220	0.0000000000
0.5238297663	-159.6958770752	216.3967742920	0.0531011220	0.0000000000
0.5238298820	-160.9084167480	199.9970703125	0.0531011220	0.0000000000
0.5238299981	-159.7322540283	196.8168334961	0.1629559200	0.0000000000
0.5238301138	-163.5455932617	204.9817810059	0.1629559200	0.0000000000
0.5238302295	-160.2870025635	199.1496734619	0.1629559200	0.0000000000
0.5238303452	-161.4236907959	205.8790130615	0.1629559200	0.0000000000
0.5238304608	-158.2408752441	206.6267547607	0.1629559200	0.0000000000
0.5238305765	-156.1982727051	217.2096710205	0.0794412731	0.9777355201
0.5238306922	-156.6797790527	199.4985809326	0.0889019157	0.4766476386
0.5238308078	-158.3014831543	205.8291931152	0.0889019157	0.4766476386
0.5238309235	-161.8026123047	204.2340850830	0.0889019157	0.4766476386
0.5238310392	-155.4824218750	206.2778015137	0.0889019157	0.4766476386
0.5238311548	-154.6791381836	213.6053466797	0.0889019157	0.4766476386
0.5238312705	-158.3924407959	200.5952301025	0.0000000000	0.2277937877
0.5238313862	-158.5894927979	203.0377197266	0.0000000000	0.2277937877
0.5238315019	-163.2424774170	216.3469238281	0.0000000000	0.2277937877
0.5238316176	-157.3314971924	204.3836059570	0.0000000000	0.2277937877
0.5238317332	-154.6033477783	206.6267242432	0.0000000000	0.2277937877
0.5238318488	-158.0589904785	201.8414154053	0.0000000000	0.0000000000
0.5238319646	-156.4221038818	212.7924346924	0.0000000000	0.0000000000
0.5238320802	-158.4682159424	203.6358947754	0.0000000000	0.0000000000
0.5238321959	-154.8306884766	205.1313323975	0.0000000000	0.0000000000
0.5238323116	-158.0135498047	215.5992126465	0.0000000000	0.0000000000
0.5238324272	-155.3728332520	210.9979553223	0.0632036122	0.0000000000
0.5238325429	-159.8322906494	223.0762634277	0.0344397930	0.3792216734
0.5238326586	-158.9229125977	217.0946350098	0.0344397930	0.3792216734
0.5238327742	-155.0580444336	218.5900573730	0.0344397930	0.3792216734
0.5238328899	-159.6049499512	223.0762634277	0.0344397930	0.3792216734
0.5238330055	-161.1963653564	214.1038055420	0.0344397930	0.3792216734
0.5238331212	-157.7710266113	212.9074707031	0.0416306812	0.0295199620
0.5238332369	-157.1041412354	200.6450958252	0.0416306812	0.0295199620
0.5238333526	-159.8322906494	208.1221466064	0.0416306812	0.0295199620
0.5238334682	-157.5588378906	201.3927917480	0.0416306812	0.0295199620
0.5238335839	-155.9674224854	202.1405029297	0.0416306812	0.0295199620
0.5238336999	-154.2395935059	203.3368225098	0.0000000000	0.1433870478
0.5238338156	-154.3760223389	217.0946350098	0.0000000000	0.1433870478
0.5238339312	-158.3924407959	207.8729095459	0.0000000000	0.1433870478
0.5238340470	-155.9674224854	212.6083831787	0.0000000000	0.1433870478
0.5238341626	-157.1041564941	211.1129608154	0.0000000000	0.1433870478
0.5238342783	-159.9686889648	211.1129608154	0.0000000000	0.0000000000
0.5238343944	-154.3305358887	204.5331726074	0.1003771992	0.0000000000
0.5238345100	-155.2854003906	220.0854492188	0.1003771992	0.0000000000
0.5238346257	-155.2853851318	202.8881988525	0.1003771992	0.0000000000
0.5238347417	-152.3299102783	209.6175537109	0.1003771992	0.0000000000
0.5238348574	-154.3760223389	219.3377380371	0.1003771992	0.0000000000
0.5238349730	-153.1634979248	221.8799591064	0.0190931080	0.6022631953
0.5238350887	-150.2837982178	205.1313171387	0.0190931080	0.6022631953
0.5238352043	-153.6939697266	208.1221466064	0.0190931080	0.6022631953
0.5238353206	-153.2392883301	197.3551635742	0.0000000000	0.1145586479
0.5238354366	-149.9654846191	205.7294921875	0.0000000000	0.1145586479
0.5238355528	-153.5484771729	211.9504089355	0.0000000000	0.0000000000
0.5238356693	-151.5504302979	210.3866271973	0.0000000000	0.0000000000
0.5238357854	-150.7674255371	203.7990264893	0.0000000000	0.0000000000
0.5238359011	-154.8307037354	204.3836059570	0.0000000000	0.0000000000
0.5238360168	-156.8767852783	210.3652648926	0.0192563009	0.0000000000
0.5238361123	-153.4459533691	215.3273315430	0.0000000000	0.1155378056
0.5238362285	-157.1661529541	200.6450958252	0.0000000000	0.1155378056
0.5238363442	-154.5333862305	210.3077545166	0.0000000000	0.1155378056
0.5238364831	-150.7384796143	222.3285827637	0.0000000000	0.1155378056
0.5238365754	-150.6580505371	209.1574249268	0.0457927371	0.0000000000
0.5238366911	-152.9244995117	210.5378112793	0.0457927371	0.0000000000
0.5238368068	-156.0024108887	212.9764862061	0.0000000000	0.2747564227
0.5238369461	-153.9485931396	208.4810333252	0.0000000000	0.2747564227
0.5238370386	-152.9244995117	208.4672241211	0.0000000000	0.2747564227
0.5238371544	-152.6446838379	216.5194854736	0.0957307218	0.0000000000
0.5238372702	-155.1820526123	209.6175689697	0.0957307218	0.0000000000
0.5238373917	-155.7772979736	217.2849426270	0.0898466696	0.5743843306
0.5238375074	-157.4713897705	207.7770385742	0.0898466696	0.5743843306
0.5238376231	-158.6542205811	220.2214050293	0.0898466696	0.5743843306
0.5238377386	-158.1009826660	228.9429016113	0.0898466696	0.5743843306
